Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
145,Islamic Center of Mid Cities,12428 S Benedict Ave,Downey,CA,90242,,,,2000,,"https://www.causeiq.com/organizations/islamic-center-of-mid-cities,954772202/",,,,,1285
146,Al Huda Islamic School,12227 Hawthorne Way,Hawthorne,CA,90250,,,,,,,,,,,4194
147,Al-Watan Musalaha (Mosque),13637 South Inglewood Avenue,Hawthorne,CA,90250,,,,,,,,,,,4192
148,Islamic Center of Hawthorne,12209 Hawthorne Way,Hawthorne,CA,90250,,,,1995,,https://ichla.org/about/,,,,,264
149,Masjid Faatimah (Sunni mosque),15012 Prairie Avenue,Hawthorne,CA,90250,,,,,,,,,,,4191
150,Bab-Ul-Ilm Islamic Center,5950 Heliotrope Cir,Maywood,CA,90270,,,,2000,,http://www.babulilm.org/,,,,,12
151,IQRA Academy of Palos Verdes,704 Silver Spur Road,Rolling Hills Estates,CA,90274,,,,,,,,,,,3965
152,Al Zahra Islamic Center,8152 Seville Ave,South Gate,CA,90280,,,,1990,,http://masjidalzahra.com/about/,,,,,867
153,ArRahmah Mosque,1117 West Manchester Boulevard,Inglewood,CA,90301,,,,,,,,,,,4205
154,Islamic Center Of Inglewood,311 E Arbor Vitae St,Inglewood,CA,90301,,,,1971,,https://islamiccenterofinglewood.org/about-us/,,,,,2288
155,Santa Monica Masjid,1231 4th Street,Santa Monica,CA,90401,,,,,,,,,,,4073
156,Westside Community and Cultural Center,1235 4th Street,Santa Monica,CA,90401,,,,,,,,,,,4038
157,Santa Monica Jamatkhana,3350 Ocean Park Boulevard,Santa Monica,CA,90405,,,,,,,,,,,4039
158,ALSAJDAH FOUNDATION,1801 Cabrillo Avenue,Torrance,CA,90501,,,,,,,,,,,4009
159,Darul Arqam Musalla,1801 Cabrillo Avenue,Torrance,CA,90501,,,,,,,,,,,4018
160,Masjid Ishaque,3341 Torrance Boulevard,Torrance,CA,90503,,,,,,,,,,,4020
161,Darul Ulum,18093 Prairie ave No.F,Torrance,CA,90504,,,,1997,,https://duny.us/about-us/,,,,,1074
162,Imamia Educational Center,2150 Redondo Beach Boulevard,Torrance,CA,90504,,,,,,,,,,,4019
163,Momin Lodge,1918 E Artesia Blvd,Torrance,CA,90504,,,,1994,,"https://www.causeiq.com/organizations/momin-lodge,954483499/",,,,,2049
164,Islamic Center of Whittier,13222 Bailey St ,Whittier,CA,90601,,,,-,No Basic Information,(626) 818-0855,,,,,1374
165,Rose Hills Rainbow Chapel,Workman Mill Road,Whittier,CA,90601,,,,,,,,,,,4026
166,Tawheed Dawah Center,7151 Lincoln Avenue,Buena Park,CA,90620,,,,,,,,,,,4143
167,Baitul Mukarram,12225 Centralia Street,Lakewood,CA,90623,,,,-,Information Without Year,https://baitul-mukarram.org,,,,,974
168,Al Burooj Academy,5631 Lincoln Avenue,Cypress,CA,90630,,,,,,,,,,,4089
169,Islamic Center of Cypress,5900 Ball Road,Cypress,CA,90630,,,,2012,,https://prayersconnect.com/mosques/84045736-islamic-center-of-cypress-cypress-california-united-states,,,,,1226
170,La Mirada Masjid,14225 Imperial Highway,La Mirada,CA,90638,,,,2001,,http://www.masjidlamirada.org/,,,,,617
171,Madinah Islamic Center,12500 Firestone Blvd,Norwalk,CA,90650,,,,2001,,https://pakistanlink.org/Community/2015/Dec15/04/05.HTM,,,,,1535
172,Masroor Mosque,7419 Passons Boulevard,Pico Rivera,CA,90660,,,,-,Information Without Year,(202) 779-3676,,,,,619
173,Shia Ithnaasheri Islamic Center/Husseini Mosque, 7925 Serapis Ave,Pico Rivera,CA,90660,,,,1981,,https://www.lajamaat.org/about-us/,,,,,262
174,Baitul Mukarram Mosque,12213 Centralia Street,Lakewood,CA,90715,,,,,,,,,,,4206
175,AlSajdah Academy,1741 Lomita Boulevard,Lomita,CA,90717,,,,,,,,,,,4183
176,Islamic Center of South Bay (LA Lomita - Masjid Al Noor),25816 Walnut Street,Lomita,CA,90717,,,,,,,,,,,4164
177,Masjid Al-Noor,28516 Walnut Street,Lomita,CA,90717,,,,1982,,https://masjidalnoor.org/about-us/,,,,,1730
178,International Institute of Tolerance (IIT),20932 Main Street,Carson,CA,90745,,,,,,,,,,,4136
179,Long Beach Islamic Center,995 E 27th St,Signal Hill,CA,90755,,,,2015,,https://www.longbeachislamiccenter.com/about/,,,,,1529
180,Masjid Al-Shareef,2104 Orange Ave,Long Beach,CA,90806,,,,1972,,https://maslb.net/history-of-maslb/,,,,,1762
